date,sales_amount,price,product_category
2023-03-08,100,10,Electronics
2023-03-09,200,20,Clothing
2023-03-10,300,30,Home Appliances
2023-03-11,400,40,Furniture
2023-03-12,500,50,Beauty Products
2023-03-13,600,60,Electronics
2023-03-14,700,70,Clothing
2023-03-15,800,80,Home Appliances
2023-03-16,900,90,Furniture
2023-03-17,1000,100,Beauty Products
2023-03-18,1100,110,Electronics
2023-03-19,1200,120,Clothing
2023-03-20,1300,130,Home Appliances
2023-03-21,1400,140,Furniture
2023-03-22,1500,150,Beauty Products
2023-03-23,1600,160,Electronics
2023-03-24,1700,170,Clothing
2023-03-25,1800,180,Home Appliances
2023-03-26,1900,190,Furniture
2023-03-27,2000,200,Beauty Products
2023-03-28,2100,210,Electronics
2023-03-29,2200,220,Clothing
2023-03-30,2300,230,Home Appliances
2023-03-31,2400,240,Furniture
2023-04-01,2500,250,Beauty Products
2023-04-02,2600,260,Electronics
2023-04-03,2700,270,Clothing
2023-04-04,2800,280,Home Appliances
2023-04-05,2900,290,Furniture
2023-04-06,3000,300,Beauty Products
2023-04-07,3100,310,Electronics
2023-04-08,3200,320,Clothing
2023-04-09,3300,330,Home Appliances
2023-04-10,3400,340,Furniture
2023-04-11,3500,350,Beauty Products
2023-04-12,3600,360,Electronics
2023-04-13,3700,370,Clothing
2023-04-14,3800,380,Home Appliances
2023-04-15,3900,390,Furniture
2023-04-16,4000,400,Beauty Products
2023-04-17,4100,410,Electronics
2023-04-18,4200,420,Clothing
2023-04-19,4300,430,Home Appliances
2023-04-20,4400,440,Furniture
2023-04-21,4500,450,Beauty Products
2023-04-22,4600,460,Electronics
2023-04-23,4700,470,Clothing
2023-04-24,4800,480,Home Appliances
2023-04-25,4900,490,Furniture
2023-04-26,5000,500,Beauty Products